Nr,s1,s2,x1_start,x2_start,x1_opt,x2_opt,f_opt,f_calls,flag
51,0.5,0.5,-0.649378,-0.334844,9.90865e-07,-3.53204e-05,3.97558e-08,319,2
52,0.5,0.5,-0.0459871,0.520778,-4.68321e-07,-0.766944,0.621716,269,2
53,0.5,0.5,0.796669,-0.446309,0.774717,1.2433e-05,0.619837,221,2
54,0.5,0.5,0.11819,0.984677,-6.69557e-07,0.774132,0.619848,275,2
55,0.5,0.5,0.629357,-0.195593,0.774716,0.017795,0.629905,297,2
56,0.5,0.5,0.55893,-0.0251415,0.774717,0.0572674,0.722573,215,2
57,0.5,0.5,0.334507,0.48413,0.774716,0.807354,1.27332,235,2
58,0.5,0.5,0.779839,0.369276,0.774716,0.775526,1.23969,157,2
59,0.5,0.5,-0.844986,0.280647,-0.774717,0.736453,1.28419,255,2
60,0.5,0.5,0.216255,-0.151609,0.774717,-0.0632203,0.744594,287,2
61,0.5,0.5,-0.767718,0.235118,-0.774714,0.774181,1.23968,295,2
62,0.5,0.5,-0.240094,-0.520682,9.70731e-07,0.0677063,0.14267,241,2
63,0.5,0.5,0.33394,0.850169,0.774715,0.763366,1.24367,147,2
64,0.5,0.5,0.794745,0.273702,0.774716,0.773702,1.23971,253,2
65,0.5,0.5,0.0626799,0.228259,5.57353e-07,0.773145,0.619914,335,2
66,0.5,0.5,0.213129,0.293798,0.774717,0.769134,1.24064,233,2
67,0.5,0.5,-0.036754,0.487886,-5.30353e-07,0.789337,0.626558,215,2
68,0.5,0.5,-0.753745,0.81847,-0.774715,0.774765,1.23967,369,2
69,0.5,0.5,-0.144662,-0.0682341,-3.85078e-07,0.0125717,0.0050287,207,2
70,0.5,0.5,0.109091,0.404506,2.08409e-07,0.0295058,0.0276018,273,2
71,0.5,0.5,0.471318,0.232478,0.774715,0.0336044,0.655594,281,2
72,0.5,0.5,-0.664828,0.35962,0.774716,0.784176,1.24248,233,2
73,0.5,0.5,-0.400613,-0.868214,-9.18145e-07,-0.868214,0.893908,195,2
74,0.5,0.5,-0.676346,-0.0827139,0.774716,-0.00190811,0.619953,241,2
75,0.5,0.5,-0.995352,0.315981,-0.774715,0.815981,1.29353,185,2
76,0.5,0.5,-0.118753,0.509838,7.59986e-07,-0.774672,0.619837,377,2
77,0.5,0.5,-0.850402,0.894354,-0.774717,0.807551,1.27373,219,2
78,0.5,0.5,0.505181,-0.387232,8.75796e-07,-0.240786,1.37286,203,2
79,0.5,0.5,-0.748473,-0.929891,-0.774715,-0.773641,1.23971,235,2
80,0.5,0.5,-0.452407,-0.651194,3.47511e-07,0.0255831,0.0207729,169,2
81,0.5,0.5,-0.0477871,-0.743372,-4.03507e-07,-0.743372,0.649886,155,2
82,0.5,0.5,-0.686641,0.130076,-0.774715,-0.0132295,0.625405,185,2
83,0.5,0.5,0.416352,0.548629,0.774716,0.0579126,0.724862,205,2
84,0.5,0.5,0.838942,-0.757114,0.774715,-0.770941,1.24012,203,2
85,0.5,0.5,0.253274,-0.627106,0.774717,-0.0128297,0.625074,253,2
86,0.5,0.5,0.310233,0.141863,0.774715,-0.00144264,0.619903,257,2
87,0.5,0.5,-0.238502,0.148416,8.88659e-07,-0.101584,0.312063,187,2
88,0.5,0.5,0.00859424,0.131425,-2.71711e-07,0.0064254,0.00131437,237,2
89,0.5,0.5,0.258965,-0.531977,0.774715,-0.00151837,0.619911,281,2
90,0.5,0.5,-0.715023,0.344962,-0.774715,0.774175,1.23968,219,2
91,0.5,0.5,-0.745497,0.377906,-0.774715,0.784156,1.24247,257,2
92,0.5,0.5,0.287013,0.0756615,0.774717,0.0314674,0.651212,173,2
93,0.5,0.5,0.134688,0.792256,6.50327e-07,0.792256,0.629519,249,2
94,0.5,0.5,0.221149,0.279279,0.774716,0.774838,1.23967,239,2
95,0.5,0.5,-0.453765,-0.856707,1.10421e-06,-0.856707,0.831496,173,2
96,0.5,0.5,-0.779806,-0.555643,-0.774714,0.00143188,0.619902,171,2
97,0.5,0.5,0.415588,-0.281054,0.774716,0.00539525,0.620764,149,2
98,0.5,0.5,0.796543,0.806125,0.774716,0.774691,1.23967,275,2
99,0.5,0.5,-0.276402,0.756398,0.774715,0.756398,1.25004,203,2
100,0.5,0.5,-0.90677,-0.824227,-0.774714,-0.80213,1.26339,183,2
1,1,1,-0.122369,-0.233294,-4.28845e-07,0.8109,0.661222,183,2
2,1,1,0.747769,0.587436,0.774715,-3.76568e-06,0.619837,263,2
3,1,1,0.641675,-0.819507,-5.58411e-07,-0.819507,0.683304,293,2
4,1,1,-0.293411,0.0106204,0.774715,0.0548146,0.71409,221,2
5,1,1,-0.771021,0.855673,-1.4589e-07,-0.000680166,1.47311e-05,333,2
6,1,1,0.0539243,0.913231,-2.95915e-07,0.788231,0.625577,215,2
7,1,1,-0.864319,-0.924284,-4.24767e-07,-0.0126724,0.0051095,323,2
8,1,1,0.118558,-0.339506,7.95703e-07,4.64521e-06,7.07257e-10,243,2
9,1,1,0.00952702,0.317265,5.22078e-07,1.23124e-05,4.83583e-09,423,2
10,1,1,0.487395,-0.954823,-2.36657e-08,-0.000197951,1.24774e-06,327,2
11,1,1,0.516875,-0.655921,-8.00554e-07,-0.76427,0.623225,285,2
12,1,1,-0.498466,0.164743,-6.31129e-07,-0.00966197,0.00297123,215,2
13,1,1,0.926601,0.463902,0.774716,0.00809667,0.621924,257,2
14,1,1,-0.0548327,0.817545,-7.33575e-07,0.795448,0.633377,293,2
15,1,1,-0.216059,-0.0413666,0.774715,-0.030318,0.648973,243,2
16,1,1,0.517151,-0.408429,-0.774715,-0.115536,1.0174,283,2
17,1,1,0.266066,-0.83129,0.774716,-0.83129,1.34092,235,2
18,1,1,0.459982,0.112207,-9.39732e-07,0.0102706,0.00335716,211,2
19,1,1,0.737886,0.221812,0.774716,-0.00435775,0.620442,203,2
20,1,1,-0.582699,-0.444344,-0.774716,0.055656,0.716961,161,2
21,1,1,0.239544,-0.607671,-9.36447e-07,-0.776866,0.619982,193,2
22,1,1,-0.62853,0.53979,-0.774715,0.0397899,0.669855,291,2
23,1,1,-0.91607,-0.979419,-7.47151e-07,0.00751202,0.00179638,227,2
24,1,1,0.399563,0.935009,2.58521e-08,0.671804,0.916795,277,2
25,1,1,0.204967,0.93417,3.53427e-07,0.764976,0.622784,261,2
26,1,1,-0.800796,-0.197907,8.60549e-07,0.0356221,0.0401514,297,2
27,1,1,0.867549,0.737707,1.94155e-07,0.0305998,0.0296769,253,2
28,1,1,0.994075,0.729096,-2.96622e-07,0.0219891,0.0153595,287,2
29,1,1,-0.1888,-0.203619,0.774714,0.774284,1.23968,193,2
30,1,1,-0.89916,0.850668,6.59284e-07,0.76228,0.624634,153,2
31,1,1,-0.200924,0.980611,0.774715,0.892222,1.66694,247,2
32,1,1,0.324615,0.246477,0.774715,0.246477,2.03756,217,2
33,1,1,-0.870711,-0.389222,-4.55107e-07,0.774463,0.619839,305,2
34,1,1,0.0436965,0.731905,-9.23925e-07,0.77467,0.619837,329,2
35,1,1,-0.758308,0.20384,-0.774716,-0.00575688,0.620892,275,2
36,1,1,-0.02838,-0.640863,3.24235e-07,-0.773202,0.619909,295,2
37,1,1,-0.656009,-0.847073,-0.774716,-0.000838813,0.61986,231,2
38,1,1,0.999306,0.691919,0.774715,0.0136839,0.625794,271,2
39,1,1,0.236886,0.851186,0.774716,-0.000880463,0.619862,247,2
40,1,1,0.257128,-0.944229,7.20938e-07,4.32391e-05,5.95499e-08,257,2
41,1,1,0.132792,0.761178,-1.76739e-06,0.761178,0.625517,137,2
42,1,1,-0.322795,-0.131667,5.98067e-07,-0.131667,0.506048,351,2
43,1,1,-0.85969,0.380854,2.70932e-07,-0.030758,0.0299832,297,2
44,1,1,0.777871,0.0231684,0.774716,-0.000269064,0.619839,265,2
45,1,1,0.171942,0.6216,-8.84595e-09,-0.00569309,0.00103189,259,2
46,1,1,-0.04246,-0.971301,9.38152e-07,0.0066019,0.00138756,239,2
47,1,1,0.880354,0.433808,-6.63124e-07,0.765915,0.622245,221,2
48,1,1,0.53076,-0.307212,6.97997e-07,0.773757,0.619866,275,2
49,1,1,0.236301,0.658388,-6.54548e-07,-0.00165337,8.70442e-05,307,2
50,1,1,0.245031,-0.916777,1.362e-08,-0.000170618,9.26947e-07,243,2
51,1,1,-0.649378,-0.334844,-1.88392e-06,-0.0453836,0.0649154,263,2
52,1,1,-0.0459871,0.520778,-9.21322e-07,0.0207783,0.0137181,203,2
53,1,1,0.796669,-0.446309,0.774716,-0.00880909,0.622307,251,2
54,1,1,0.11819,0.984677,-3.53642e-07,0.771289,0.620203,245,2
55,1,1,0.629357,-0.195593,-6.7941e-07,0.775453,0.619854,385,2
56,1,1,0.55893,-0.0251415,4.34825e-07,-0.0251415,0.0200642,197,2
57,1,1,0.334507,0.48413,-7.09731e-07,0.000742186,1.75401e-05,269,2
58,1,1,0.779839,0.369276,0.774715,-0.000199938,0.619838,267,2
59,1,1,-0.844986,0.280647,0.774716,0.0458119,0.685971,163,2
60,1,1,0.216255,-0.151609,-6.4496e-07,-2.97357e-05,2.81688e-08,309,2
61,1,1,-0.767718,0.235118,-0.774717,-6.34198e-07,0.619837,315,2
62,1,1,-0.240094,-0.520682,-7.45928e-07,-0.60907,1.29979,221,2
63,1,1,0.33394,0.850169,9.14622e-07,1.38331e-05,6.11984e-09,323,2
64,1,1,0.794745,0.273702,0.774715,-6.84523e-06,0.619837,321,2
65,1,1,0.0626799,0.228259,-3.93411e-07,-0.00343551,0.000375807,237,2
66,1,1,0.213129,0.293798,-3.40105e-07,-8.57277e-05,2.34022e-07,283,2
67,1,1,-0.036754,0.487886,1.96821e-07,0.00998308,0.00317191,233,2
68,1,1,-0.753745,0.81847,-4.5443e-07,-0.000104168,3.45526e-07,267,2
69,1,1,-0.144662,-0.0682341,6.16269e-07,-0.0682341,0.144851,251,2
70,1,1,0.109091,0.404506,6.6141e-07,0.00740867,0.00174731,279,2
71,1,1,0.471318,0.232478,7.48887e-07,3.53419e-06,4.15586e-10,409,2
72,1,1,-0.664828,0.35962,-0.774717,-7.97732e-05,0.619837,277,2
73,1,1,-0.400613,-0.868214,-1.55386e-07,0.713893,0.729738,241,2
74,1,1,-0.676346,-0.0827139,-0.774715,0.00567442,0.620862,241,2
75,1,1,-0.995352,0.315981,-1.41794e-07,-0.00724239,0.00166977,243,2
76,1,1,-0.118753,0.509838,-7.44562e-07,-0.0343558,0.037364,221,2
77,1,1,-0.850402,0.894354,4.31325e-07,0.778217,0.620221,329,2
78,1,1,0.505181,-0.387232,-0.774716,-0.0943391,0.890901,295,2
79,1,1,-0.748473,-0.929891,-0.774716,-0.00154346,0.619913,251,2
80,1,1,-0.452407,-0.651194,3.47511e-07,-0.651194,1.03273,159,2
81,1,1,-0.0477871,-0.743372,-8.56508e-07,-0.765469,0.622494,193,2
82,1,1,-0.686641,0.130076,-0.774715,-0.00407661,0.620366,235,2
83,1,1,0.416352,0.548629,-7.57476e-07,0.00443503,0.000626266,305,2
84,1,1,0.838942,-0.757114,0.774716,-0.757114,1.24925,211,2
85,1,1,0.253274,-0.627106,0.774715,-0.627106,1.80181,247,2
86,1,1,0.310233,0.141863,0.774716,0.141863,1.19906,249,2
87,1,1,-0.238502,0.148416,-9.23345e-07,0.0600278,0.112696,217,2
88,1,1,0.00859424,0.131425,4.18781e-07,0.000153702,7.52264e-07,219,2
89,1,1,0.258965,-0.531977,0.774716,-0.531977,2.41203,193,2
90,1,1,-0.715023,0.344962,-0.774715,-0.0300384,0.64844,165,2
91,1,1,-0.745497,0.377906,-0.774717,0.0029061,0.620106,197,2
92,1,1,0.287013,0.0756615,0.774716,0.0756615,0.79699,237,2
93,1,1,0.134688,0.792256,3.24856e-07,0.777056,0.620008,183,2
94,1,1,0.221149,0.279279,6.21151e-07,-0.0017887,0.000101877,285,2
95,1,1,-0.453765,-0.856707,-6.44891e-07,0.774829,0.619838,343,2
96,1,1,-0.779806,-0.555643,-1.73275e-07,-0.0403202,0.0513493,253,2
97,1,1,0.415588,-0.281054,-0.774716,0.0118394,0.624298,291,2
98,1,1,0.796543,0.806125,7.94627e-07,1.06134e-06,5.59754e-11,371,2
99,1,1,-0.276402,0.756398,0.774716,0.800593,1.2608,249,2
100,1,1,-0.90677,-0.824227,6.58932e-07,-0.824227,0.697399,223,2
