t,alpha,omega
37.6,3.14183,-6.23843e-05
37.7,3.14183,-6.24885e-05
37.8,3.14182,-6.25013e-05
37.9,3.14181,-6.24274e-05
38,3.14181,-6.22713e-05
38.1,3.1418,-6.20374e-05
38.2,3.1418,-6.17299e-05
38.3,3.14179,-6.1353e-05
38.4,3.14178,-6.09107e-05
38.5,3.14178,-6.04071e-05
38.6,3.14177,-5.98458e-05
38.7,3.14177,-5.92307e-05
38.8,3.14176,-5.85652e-05
38.9,3.14175,-5.78529e-05
39,3.14175,-5.70971e-05
39.1,3.14174,-5.63011e-05
39.2,3.14174,-5.5468e-05
39.3,3.14173,-5.46009e-05
39.4,3.14173,-5.37026e-05
39.5,3.14172,-5.27759e-05
39.6,3.14172,-5.18237e-05
39.7,3.14171,-5.08485e-05
39.8,3.14171,-4.98529e-05
39.9,3.1417,-4.88391e-05
40,3.1417,-4.78096e-05
40.1,3.14169,-4.67666e-05
40.2,3.14169,-4.57122e-05
40.3,3.14168,-4.46484e-05
40.4,3.14168,-4.35771e-05
40.5,3.14167,-4.25003e-05
40.6,3.14167,-4.14197e-05
40.7,3.14166,-4.03369e-05
40.8,3.14166,-3.92536e-05
40.9,3.14166,-3.81713e-05
41,3.14165,-3.70914e-05
41.1,3.14165,-3.60153e-05
41.2,3.14165,-3.49443e-05
41.3,3.14164,-3.38795e-05
41.4,3.14164,-3.28222e-05
41.5,3.14164,-3.17735e-05
41.6,3.14163,-3.07342e-05
41.7,3.14163,-2.97055e-05
41.8,3.14163,-2.86881e-05
41.9,3.14162,-2.76829e-05
42,3.14162,-2.66906e-05
42.1,3.14162,-2.5712e-05
42.2,3.14162,-2.47478e-05
42.3,3.14161,-2.37984e-05
42.4,3.14161,-2.28645e-05
42.5,3.14161,-2.19466e-05
42.6,3.14161,-2.10451e-05
42.7,3.14161,-2.01604e-05
42.8,3.1416,-1.92929e-05
42.9,3.1416,-1.84429e-05
43,3.1416,-1.76107e-05
43.1,3.1416,-1.67965e-05
43.2,3.1416,-1.60006e-05
43.3,3.14159,-1.5223e-05
43.4,3.14159,-1.4464e-05
43.5,3.14159,-1.37237e-05
43.6,3.14159,-1.30021e-05
43.7,3.14159,-1.22992e-05
43.8,3.14159,-1.16151e-05
43.9,3.14159,-1.09498e-05
44,3.14159,-1.03032e-05
44.1,3.14158,-9.67531e-06
44.2,3.14158,-9.06596e-06
44.3,3.14158,-8.47509e-06
44.4,3.14158,-7.90257e-06
44.5,3.14158,-7.34826e-06
44.6,3.14158,-6.812e-06
44.7,3.14158,-6.2936e-06
44.8,3.14158,-5.79287e-06
44.9,3.14158,-5.30961e-06
45,3.14158,-4.8436e-06
45.1,3.14158,-4.39459e-06
45.2,3.14158,-3.96235e-06
45.3,3.14158,-3.54661e-06
45.4,3.14158,-3.14711e-06
45.5,3.14158,-2.76358e-06
45.6,3.14158,-2.39572e-06
45.7,3.14158,-2.04327e-06
45.8,3.14158,-1.7059e-06
45.9,3.14158,-1.38333e-06
46,3.14158,-1.07524e-06
46.1,3.14158,-7.81332e-07
46.2,3.14158,-5.01279e-07
46.3,3.14158,-2.34765e-07
46.4,3.14158,1.85307e-08
46.5,3.14158,2.5893e-07
46.6,3.14158,4.86757e-07
46.7,3.14158,7.02338e-07
46.8,3.14158,9.05998e-07
46.9,3.14158,1.09806e-06
47,3.14158,1.27885e-06
47.1,3.14158,1.4487e-06
47.2,3.14158,1.60792e-06
47.3,3.14158,1.75683e-06
47.4,3.14158,1.89576e-06
47.5,3.14158,2.02502e-06
47.6,3.14158,2.14492e-06
47.7,3.14158,2.25577e-06
47.8,3.14158,2.35789e-06
47.9,3.14158,2.45157e-06
48,3.14158,2.53711e-06
48.1,3.14158,2.61482e-06
48.2,3.14158,2.68497e-06
48.3,3.14158,2.74786e-06
48.4,3.14158,2.80377e-06
48.5,3.14158,2.85298e-06
48.6,3.14158,2.89576e-06
48.7,3.14158,2.93238e-06
48.8,3.14158,2.9631e-06
48.9,3.14158,2.98817e-06
49,3.14158,3.00786e-06
49.1,3.14158,3.02241e-06
49.2,3.14158,3.03205e-06
49.3,3.14158,3.03703e-06
49.4,3.14158,3.03757e-06
49.5,3.14158,3.0339e-06
49.6,3.14158,3.02624e-06
49.7,3.14158,3.0148e-06
49.8,3.14158,2.99979e-06
49.9,3.14158,2.98141e-06
50,3.14158,2.95986e-06
50.1,3.14158,2.93533e-06
50.2,3.14158,2.908e-06
50.3,3.14158,2.87806e-06
50.4,3.14158,2.84567e-06
50.5,3.14158,2.81101e-06
50.6,3.14159,2.77424e-06
50.7,3.14159,2.73552e-06
50.8,3.14159,2.695e-06
50.9,3.14159,2.65283e-06
51,3.14159,2.60914e-06
51.1,3.14159,2.56408e-06
51.2,3.14159,2.51778e-06
51.3,3.14159,2.47037e-06
51.4,3.14159,2.42196e-06
